Title,Call Number,Part(s),Year,Date Range,Date 1,Date 2,Date 3,Barcode 1,Barcode 2,Barcode 3,Notes 1,Notes 2,Leader,003,007,008
Gloria Cheng and Vicki Ray,DAT CU 199,,2000,2000 February 23,2000 February 23,,,31924119824120,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ensemble X,DAT CU 200,,2000,2000 February 27,2000 February 27,,,31924119824138,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Eri Konii, violin, Geoffrey Govier, piano",DAT CU 201,,2000,2000 February 29,2000 February 29,,,31924119824146,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"David Kempe, piano",DAT CU 202,,2000,2000 March 1,2000 March 1,,,31924119824153,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Bach in sage 2000,DAT CU 203,,2000,2000 March 3,2000 March 3,,,31924119824161,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Thomas Irvine, viola, Geoffrey Govier, fortepiano",DAT CU 204,,2000,2000 March 6,2000 March 6,,,31924119824179,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Matthew Bengston, fortepiano",DAT CU 205,,2000,2000 March 9,2000 March 9,,,31924119824187,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cuarteto Latinoamericano,DAT CU 206,,2000,2000 March 10,2000 March 10,,,31924119824195,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Senior honor's project: opera scenes, Arsenia Soto, director",DAT CU 207,,2000,2000 March 15,2000 March 15,,,31924119824203,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 208,,2000,2000 March 16,2000 March 16,,,31924119824211,,,safety copy,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 209,,2000,2000 March 16,2000 March 16,,,31924119824229,,,original master,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"William Cowdery, harpsichord",DAT CU 210,,2000,2000 March 27,2000 March 27,,,31924119824237,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Robert Paterson, composer",DAT CU 211,,2000,2000 April 2,2000 April 2,,,31924119824245,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 212,,2000,2000 April 4,2000 April 4,,,31924119824252,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Sage Chapel Choir,DAT CU 213,,2000,2000 April 6,2000 April 6,,,31924119824260,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Bach in sage 2000,DAT CU 214,,2000,2000 April 7,2000 April 7,,,31924119824278,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Festival Chamber Orchestra,DAT CU 215,,2000,2000 April 9,2000 April 9,,,31924119824286,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Geoffrey Govier, fortepiano",DAT CU 216,,2000,2000 April 12,2000 April 12,,,31924119824294,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Poulenc festival concert 1,DAT CU 217,,2000,2000 April 14,2000 April 14,,,31924119824302,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 218,,2000,2000 April 15,2000 April 15,,,31924119824310,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Poulenc festival concert 2,DAT CU 219,,2000,2000 April 16,2000 April 16,,,31924119824328,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Rebecca Shaefer, piano",DAT CU 220,,2000,2000 April 17,2000 April 17,,,31924119824336,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Poulenc festival concert 3,DAT CU 221,,2000,2000 April 18,2000 April 18,,,31924119824344,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Noah C. DeGarmo, piano",DAT CU 222,,2000,2000 April 23,2000 April 23,,,31924119824351,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Lars Haugbro, fortepiano",DAT CU 223,,2000,2000 April 26,2000 April 26,,,31924119824369,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Singers,DAT CU 224,,2000,2000 April 27,2000 April 27,,,31924119824377,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 225,,2000,2000 April 30,2000 April 30,,,31924119824385,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Vesselin Gellev, violin, Xak Bjerken, piano",DAT CU 226,,2000,2000 May 1,2000 May 1,,,31924119824393,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Matthew Bengston, fortepiano",DAT CU 227,,2000,2000 May 3,2000 May 3,,,31924119824401,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Amy McIntire, soprano, Calvin Warren, tenor/countertenor",DAT CU 228,,2000,2000 May 4,2000 May 4,,,31924119824419,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Joseph Gregorio, baritone",DAT CU 229,,2000,2000 May 7,2000 May 7,,,31924119824427,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 230,,2000,2000 May 8,2000 May 8,,,31924119824435,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Music of Hungaru and the Czech Republic,DAT CU 231,,2000,2000 May 9,2000 May 9,,,31924119824443,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Gamelan Ensemble,DAT CU 232,,2000,2000 May 12,2000 May 12,,,31924119824450,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Rebecca Ferguson, soprano, Lars Haugbro, fortepiano",DAT CU 233,,2000,2000 May 13,2000 May 13,,,31924119824468,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student recital: sax and brass,DAT CU 234,,2000,2000 May 14,2000 May 14,,,31924119824476,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Kia Hui-Tan, violin",DAT CU 235,,2000,2000 September 15,2000 September 15,,,31924119824484,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Rebecca Ferguson, soprano, Blaise Bryski, piano",DAT CU 236,,2000,2000 September 17,2000 September 17,,,31924119824492,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Paul O'Dette, lute",DAT CU 237,,2000,2000 September 22,2000 September 22,,,31924119824500,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Zvi Meniker, fortepiano",DAT CU 238,,2000,2000 October 1,2000 October 1,,,31924119824518,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 239,,2000,2000 October 15,2000 October 15,,,31924119824526,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"John Nam, jazz piano",DAT CU 240,,2000,2000 October 16,2000 October 16,,,31924119824534,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Geoffrey Govier, fortepiano",DAT CU 241,,2000,2000 October 20,2000 October 20,,,31924119824542,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 242,,2000,2000 October 21,2000 October 21,,,31924119824559,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Andrew Clark, natural horn, Geoffrey Govier, fortepiano",DAT CU 243,,2000,2000 October 23,2000 October 23,,,31924119824567,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ensemble X,DAT CU 244,,2000,2000 October 26,2000 October 26,,,31924119824575,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Wind Ensemble, Symphonic Band",DAT CU 245,,2000,2000 November 4,2000 November 4,,,31924119824583,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 246,,2000,2000 November 6,2000 November 6,,,31924119824591,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Ellen Jewett, violin, Blaise Bryski, fortepiano",DAT CU 247,,2000,2000 November 10,2000 November 10,,,31924119824609,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Rebecca Marques, soprano, Anton Faradjian, piano",DAT CU 248,,2000,2000 November 12,2000 November 12,,,31924119824617,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Eri Konii, violin, Geoffrey Govier, piano",DAT CU 249,,2000,2000 November 16,2000 November 16,,,31924119824625,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Edward M. Murray memorial concert,DAT CU 250,,2000,2000 November 19,2000 November 19,,,31924119824633,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chorale,DAT CU 251,,2000,2000 November 19,2000 November 19,,,31924119824641,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 252,,2000,2000 November 20,2000 November 20,,,31924119824658,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Contemporary colors senior recital,DAT CU 253,,2000,2000 November 21,2000 November 21,,,31924119824666,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Guest artist Joe Chambers and the Cornell University Lab Ensembles,DAT CU 254,1-2,2000,"2000 November 27, 2000 November 27",2000 November 27,2000 November 27,,31924119824674,31924119824682,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Singers,DAT CU 255,,2000,2000 November 28,2000 November 28,,,31924119824690,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Bach in sage 2000 Annette Richards,DAT CU 256,,2000,2000 November 29,2000 November 29,,,31924119824708,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Lab Ensembles,DAT CU 257,,2000,2000 December 2,2000 December 2,,,31924119824716,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Lab Ensembles,DAT CU 258,,2000,2000 December 2,2000 December 2,,,31924119824724,,,duplicate,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Symphony and Wind Ensemble,DAT CU 259,,2000,2000 December 3,2000 December 3,,,31924119824732,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Joseph Gregorio, baritone",DAT CU 260,,2000,2000 December 3,2000 December 3,,,31924119824740,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music ,DAT CU 261,,2000,2000 December 4,2000 December 4,,,31924119824757,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Blaise Bryski,DAT CU 262,,2000,2000 December 5,2000 December 5,,,31924119824765,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Judith Kellock,DAT CU 263,,2000,2000 December 6,2000 December 6,,,31924119824773,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ensemble X,DAT CU 264,,2001,2001 January 14,2001 January 14,,,31924119824781,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Lars Haugbro, harpsichord and fortepiano",DAT CU 265,,2001,2001 January 23,2001 January 23,,,31924119824799,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cayuga Chamber Winds,DAT CU 266,,2001,2001 January 27,2001 January 27,,,31924119824807,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Talujon Percussion Quartet,DAT CU 267,,2001,2001 February 3,2001 February 3,,,31924119824815,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Gary Moulsdale, tenor, Lars Haugbro, fortepiano and piano",DAT CU 268,,2001,2001 February 5,2001 February 5,,,31924119824823,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Third annual Mozart's birthday concert,DAT CU 269,,2001,2001 February 9,2001 February 9,,,31924119824831,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Third annual Mozart's birthday concert,DAT CU 270,,2001,2001 February 10,2001 February 10,,,31924119824849,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 271,,2001,2001 February 11,2001 February 11,,,31924119824856,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Guest  Tilman Skowroneck, harpsichord",DAT CU 272,,2001,2001 February 16,2001 February 16,,,31924119824864,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Cornell Percussion Ensemble, Cornell World Drumming Group",DAT CU 273,,2001,2001 February 18,2001 February 18,,,31924119824872,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Kia-Hui Tan,DAT CU 274,,2001,2001 February 19,2001 February 19,,,31924119824880,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 275,,2001,2001 February 23,2001 February 23,,,31924119824898,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Thomas Irvine, viola",DAT CU 276,,2001,2001 February 25,2001 February 25,,,31924119824906,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Ian Alister Woolford, baritone and narrator, Brooks Kuykendall, piano",DAT CU 277,,2001,2001 March 2,2001 March 2,,,31924119824914,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Timothy LeFebvre, baritone, Diane Richardson, piano",DAT CU 278,,2001,2001 March 4,2001 March 4,,,31924119824922,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Adam Farouk,DAT CU 279,,2001,2001 March 6,2001 March 6,,,31924119824930,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Guest Richard Faria, clarinet, Blaise Bryski, piano",DAT CU 280,,2001,2001 March 9,2001 March 9,,,31924119824948,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Ensemble,DAT CU 281,,2001,2001 March 10,2001 March 10,,,31924119824955,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Symphonic Band,DAT CU 282,,2001,2001 March 11,2001 March 11,,,31924119824963,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Malcolm Bilson, fortepiano",DAT CU 283,,2001,2001 March 11,2001 March 11,,,31924119824971,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Kia-Hui Tan, violin, Blaise Bryski, piano",DAT CU 284,,2001,2001 March 26,2001 March 26,,,31924119824989,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Jeff Solomon, composer",DAT CU 285,,2001,2001 March 27,2001 March 27,,,31924119824997,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Guest Hans Davidsson, organ",DAT CU 286,,2001,2001 March 29,2001 March 29,,,31924119825002,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Carol Lieberman, classical violin, Mark Kroll, fortepiano",DAT CU 287,,2001,2001 April 1,2001 April 1,,,31924119825010,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Victor Kam, piano",DAT CU 288,,2001,2001 April 2,2001 April 2,,,31924119825028,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Celebration of American piano music,DAT CU 289,,2001,2001 April 4,2001 April 4,,,31924119825036,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Joseph A. Gregoio, composer/arranger",DAT CU 290,,2001,2001 April 5,2001 April 5,,,31924119825044,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Sophie Yates, harpsichord",DAT CU 291,,2001,2001 April 6,2001 April 6,,,31924119825051,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 292,,2001,2001 April 7,2001 April 7,,,31924119825069,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Monk reconsidered,DAT CU 293,,2001,2001 April 9,2001 April 9,,,31924119825077,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Festival Chamber Orchestra,DAT CU 294,,2001,2001 April 14,2001 April 14,,,31924119825085,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Daniel Acsadi, classical guitar",DAT CU 295,,2001,2001 April 15,2001 April 15,,,31924119825093,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Emily Green, piano",DAT CU 296,,2001,2001 April 16,2001 April 16,,,31924119825101,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Amy McIntire, soprano",DAT CU 297,,2001,2001 April 17,2001 April 17,,,31924119825119,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
The Paterson Duo,DAT CU 298,,2001,2001 April 18,2001 April 18,,,31924119825127,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Fred Ho,DAT CU 299,,2001,2001 April 20,2001 April 20,,,31924119825135,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chorale,DAT CU 300,,2001,2001 April 22,2001 April 22,,,31924119825143,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 301,,2001,2001 April 22,2001 April 22,,,31924119825150,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 302,,2001,2001 April 23,2001 April 23,,,31924119825168,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Joseph Phibbs,DAT CU 303,,2001,2001 April 26,2001 April 26,,,31924119825176,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Studio voice recital,DAT CU 304,,2001,2001 April 29,2001 April 29,,,31924119825184,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Cornell Percussion Ensemble, Cornell World Drumming Group",DAT CU 305,,2001,2001 April 29,2001 April 29,,,31924119825192,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Geoffrey Govier, fortepiano",DAT CU 306,,2001,2001 April 30,2001 April 30,,,31924119825200,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Singers,DAT CU 307,,2001,2001 May 1,2001 May 1,,,31924119825218,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Blaise Bryski,DAT CU 308,,2001,2001 May 3,2001 May 3,,,31924119825226,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Wind Ensembe,DAT CU 309,,2001,2001 May 5,2001 May 5,,,31924119825234,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphonic Band,DAT CU 310,,2001,2001 May 6 ,2001 May 6 ,,,31924119825242,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 311,,2001,2001 May 6 ,2001 May 6 ,,,31924119825259,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Sage Chapel Choir,DAT CU 312,,2001,2001 May 7,2001 May 7,,,31924119825267,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Brass Quintet,DAT CU 313,,2001,2001 May 9,2001 May 9,,,31924119825275,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Salon music of the French baroque,DAT CU 314,,2001,2001 May 9,2001 May 9,,,31924119825283,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Trio Parole,DAT CU 315,,2001,2001 September 8,2001 September 8,,,31924119825291,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Trio Parole,DAT CU 316,,2001,2001 September 9,2001 September 9,,,31924119825309,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Taliesin Trio,DAT CU 317,,2001,2001 September 16,2001 September 16,,,31924119825317,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Malcolm Bilson, fortepiano",DAT CU 318,,2001,2001 September 20,2001 September 20,,,31924119825333,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Ian Alister Woolford, baritone, David Yearsley, piano",DAT CU 319,,2001,2001 September 21,2001 September 21,,,31924119825325,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Music of Karel Husa,DAT CU 320,,2001,2001 September 28,2001 September 28,,,31924119825341,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Kia-Hui Tan, violin, Allison Gagnon, piano",DAT CU 321,,2001,2001 September 29,2001 September 29,,,31924119825358,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Gary Moulsdale, tenor, David Kempe, fortepiano",DAT CU 322,,2001,2001 October 1,2001 October 1,,,31924119825366,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ensemble Campanile,DAT CU 323,,2001,2001 October 11,2001 October 11,,,31924119825374,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Songs of Lennon & McCartney,DAT CU 324,,2001,2001 October 12,2001 October 12,,,31924119825382,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 325,,2001,2001 October 14,2001 October 14,,,31924119825390,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Reunion of performing graduates,DAT CU 326,,2001,2001 October 19,2001 October 19,,,31924119825408,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 327,,2001,2001 October 20,2001 October 20,,,31924119825416,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Kia-Hui Tan and Susan Waterbury, violins",DAT CU 328,,2001,2001 October 21,2001 October 21,,,31924119825424,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Continuum,DAT CU 329,,2001,2001 October 27,2001 October 27,,,31924119825432,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
