Vet Video BibIDs
3820431
4450061
3307930
3307930
3307930
3309821
3309821
3309821
3309821
3330565
3330565
3330565
3330565
3330565
3330583
3330583
3330793
3330793
3342041
3342316
3342369
3485249
3485249
3485249
3485249
3485249
3485249
3485249
3485249
3679503
3777645
3777879
3777879
3779049
3780188
3781569
3782505
3782507
3782527
3819113
3819204
3819225
3819225
3819225
3819225
3819225
3819258
3819258
3819416
3819436
3819436
3819450
3819450
3819512
3819512
3819527
3819582
3819582
3820429
3820430
3820431
3820432
3820433
3820434
3820436
3820437
3820437
3820439
3823128
3823130
3823146
3823146
3823934
3823938
3824401
3824401
3824401
3824414
3824414
3824414
3824744
3824763
3824789
3824791
3824799
3825212
3825212
3825212
4062808
4129843
4129843
4129844
4129844
4129845
4129845
4171437
4217698
4438372
4764668
4764668
4764668
4764668
4764668
4768027
4768118
4768124
4768272
4768323
4936423
4959828
5067590
5419922
5660752
5670833
