001,005,007,008,035_##$a,040_##$a,040_##$c,040_##$d,045_##$a,100_1#$a,100_1#$c,100_1#$d,100_1#$q,240_1*$a,240_1*$l,245_1*$a,245_1*$b,245_1*$h,260_##$c,300_##$a,300_##$b,500_##$a,505_0#$a,510_4#$a,510_4#$b,510_4#$c,518_##$a,520_##$a,540_##$a,600_00$a,600_00$d,600_00$x,600_07$0,600_07$2,600_07$a,600_07$d,600_10$a,600_10$d,600_10$q,600_10$t,600_10$x,600_17$0,600_17$2,600_17$a,600_17$d,600_17$q,610_10$a,610_10$b,610_17$0,610_17$2,610_17$a,610_17$b,610_20$a,610_20$x,610_20$y,610_27$0,610_27$2,610_27$a,611_27$0,611_27$2,611_27$a,630_#7$0,630_#7$2,630_#7$a,630_00$a,648_#7$2,648_#7$a,650_#0$a,650_#0$v,650_#0$x,650_#0$y,650_#0$z,650_#7$0,650_#7$2,650_#7$a,650_#7$x,651_#0$a,651_#0$x,651_#0$y,651_#0$z,651_#7$0,651_#7$2,651_#7$a,651_#7$z,655_#7$0,655_#7$2,655_#7$a,700_1#$a,700_1#$c,700_1#$d,700_1#$q,710_1#$4,710_1#$a,710_1#$b,830_ *$a,830_ *$p,899_1#$a,905_##$a,948_2#$a,948_2#$b,948_2#$d,948_2#$e,948_2#$x,leader
3600395,20151214182555.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7460;3600395;(OCoLC)63895990;,NIC,NIC,NIC;NIC;,,"Van Tienhoven, Ari.",,,,,,"Structuring the environment: selecting resources and utilizing
                technology",,[sound recording],1988.,1 sound cassette (55 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Accompanied by: Notes.;Sponsored by: Education, Department of,Office of Instruction, College
                of Agriculture and Life Sciences,Cornell Education Society.;Speaker(s): Professor Emeritus, Avian Physiology.;",,,,,"Lecture, March 14, 1988.","Tienhoven presents the concept of teaching through personal insights
                and techniques. He argues that teaching is a two-way street which requires critical
                thinkingfrom both teacher and student.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Higher.;Teacher-student relationships.;Educational innovations.;",,,,,(OCoLC)fst00903005;(OCoLC)fst00903483;(OCoLC)fst01144236;,fast;fast;fast;,"Education, Higher;Educational innovations;Teacher-student relationships;",,,,,,,,,,,,,,,,,,,,Teaching in a changing world: dilemmas and challenges.,,CULectures,20000110120000.0,20141221,m,batch,lts,addfast,01570cim a22003612u 4500
3600678,20151214182650.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7743;3600678;(OCoLC)63896436;,NIC,NIC,NIC;NIC;,,"LaFeber, Walter.",,,,,,Is America on the decline?,,[sound recording],1988.,1 sound cassette (87 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Accompanied by: Notes.;Sponsored by: Cornell Democrats.;Speaker(s): Mr. LaFeber is Professor of American History at Cornell.
                Mr. Katzenstein is Professor of Government at Cornell.;",,,,,"Lecture, April 5, 1988.","LaFeber and Katzenstein both address the question of America on the
                decline, with LaFeber providing a historical account of how the decline has happened
                and Katzenstein suggesting some solutions to it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,Since 1981,,,,,,(OCoLC)fst00902025,fast,Economic policy,,United States,Economic policy,1981-,,(OCoLC)fst01204155,fast,United States,,,,,"Katzenstein, Peter J.",,,,,,,,,CULectures,20000411120000.0,20141221,m,batch,lts,addfast,01353cim a22003372u 4500
3600547,20151214182623.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7612;3600547;(OCoLC)63896223;,NIC,NIC,NIC;NIC;,,"Chartier, Roger,",,1945- ,,,,Luigi Einaudi: between politics and history,,[sound recording],1988.,1 sound cassette (68 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Accompanied by: Text.;Sponsored by: Western Societies Program.;Speaker(s): First recipient of the Einaudi chair; Professor at
                L'ecole des etudes anciennes sociales.;",,,,,"Lecture, April 6, 1988.","Einaudi Inaugural Lecture; Chartier, the first recipient of the
                Einaudi professorship in European and International Studies, discusses the life of
                Luigi Einaudi and his contributions to Italian intellectual history.",,,,,,,,,"Einaudi, Luigi,",1874-1961.,,,,(OCoLC)fst00019185,fast,"Einaudi, Luigi,",1874-1961,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,,,,,,(OCoLC)fst00975769,fast,Intellectual life,,Italy,Intellectual life,20th century.,,(OCoLC)fst01204565,fast,Italy,,,,,,,,,,,,Einaudi lectures.,,CULectures,20000310120000.0,20141221,m,batch,lts,addfast,01483cim a22003612u 4500
3600703,20151214182655.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng ,(NIC)notisASF7768;3600703;(OCoLC)63896473;,NIC,NIC,NIC,,"Keene, David A.",,,,,,1988 presidential campaign forum,,[sound recording],1988.,2 sound cassettes (140 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Accompanied by: Notes.;Sponsored by: Mortar Board Honor Society,Cornell Political
                Forum,Cornell Republicans,Cornell Democrats.;Speaker(s): Keene is chairman of the American Conservative Union;
                Yepsen is a reporter for the Des Moines Register; Frankovic is director of surveys
                for the CBS News Election Unit and a 1968 Cornell graduate; Ginsberg is a government
                professor at Cornell; Chapman, who serves as moderator, is the executive director of
                the Cornell News Service and a former bureau chief for ABC News.;",,,,,"Panel, April 11, 1988.","Discussants address the question ""is this democracy?"" in
                relation to the 1988 presidential election.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Politics, Practical.",,,,,(OCoLC)fst01069977,fast,"Politics, Practical",,,,,,,,,,,,,"Chapman, Irv.;Ginsberg, Benjamin.;Frankovic, Kathleen.;Yepsen, David.;",,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01580cim a22003492u 4500
3600626,20151214182638.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7691;3600626;(OCoLC)63896344;,NIC,NIC,NIC;NIC;,,"Chien, Frederick F.",,1935- ,"(Frederick Foo),",,,"The Republic of China on Taiwan and her relations with the United
                States",,[sound recording],1988.,1 sound cassette (75 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Accompanied by: Notes.;Sponsored by: East Asia Program,Dean's Office of the Graduate
                School,Johnson Graduate School of Management Federation of Alumni from
                Taiwan.;Speaker(s): Representative of the Coordination Council for North
                American Affairs, a non-diplomatic mission maintained by the Nationalist Chinese
                government in the United States.;",,,,,"Lecture, April 12, 1988.","Discusses the relationship between the Republic of China and the
                United States on both an economic and political level, particularly after the U.S.
                non-recognition of Taiwan in 1979.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01907412;(OCoLC)fst00902025;(OCoLC)fst01069781;,fast;fast;fast;,Diplomatic relations;Economic policy;Political science;,,China;China;China;,Foreign relations.;Economic policy.;Politics and government.;,,,(OCoLC)fst01206073,fast,China,,,,,,,,,,,,,,CULectures,20000310120000.0,20141221,m,batch,lts,addfast,01693cim a22003612u 4500
3600639,20151214182640.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7704;3600639;(OCoLC)63896368;,NIC,NIC,NIC;NIC;,,"LaCapra, Dominick,",,1939-,,,,On the rhetoric of racism in literature,,[sound recording],1988.,1 sound cassette (25 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Accompanied by: Notes.;Sponsored by: Society for the Humanities.;",,,,,"Lecture, April 15, 1988.","Tape includes introductory remarks by La Capra; Gates presents an
                overview of the state of black education in the United States today and opens the
                conference ""Race and the Humanities"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Racism in language.;Racism;African Americans;,,Education.,,United States.,(OCoLC)fst00799600;(OCoLC)fst01086509;(OCoLC)fst01086616;(OCoLC)fst01086654;,fast;fast;fast;fast;,African Americans;Race relations;Racism;Racism in language;,Education,United States,Race relations.,,,(OCoLC)fst01204155,fast,United States,,,,,"Gates, Henry Louis,",Jr.,,,,,,Race and the humanities.,,CULectures,20000405120000.0,20141221,m,batch,lts,addfast,01534cim a22003972u 4500
3600646,20151214182642.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7711;3600646;(OCoLC)63896384;,NIC,NIC,NIC;NIC;,,"Mehrez, Samia.",,,,,,"Contesting the dominant other: the case of the Francophone North
                African writer",,[sound recording],1988.,1 sound cassette (70 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Accompanied by: Notes.;Speaker(s): Assistant Professor of Near Eastern Studies, Cornell
                University.;",,,,,"Lecture, April 16, 1988.","Mehrez discusses the recent development of bilingual writing among
                Francophone writers (specifically Arab) as being distinct from the
                currently-existing alternatives of writing in French while adhering to a metropole
                perspective or of immersing oneself in Arabic. She points out the political
                implications of such a choice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bilingualism and literature.;Arabic literature;Algerian literature (French);,,,,Foreign countries.,(OCoLC)fst00804959;(OCoLC)fst01906762;(OCoLC)fst00831758;,fast;fast;fast;,Algerian literature (French);Arabic literature;Bilingualism and literature;,Foreign countries,,,,,,,,,,,,,,,,,,,Race and the humanities.,,CULectures,19991222120000.0,20141221,m,batch,lts,addfast,01597cim a22003492u 4500
3600593,20151214182631.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7658;3600593;(OCoLC)63896298;,NIC,NIC,NIC;NIC;,,"Maksoud, Clovis.",,,,,,Future of peace in the middle east: an arab perspective,,[sound recording],1988.,1 sound cassette (80 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Accompanied by: Notes.;Sponsored by: The Arab Club.;Speaker(s): Ambassador Maksoud is the permanent observer of the
                League of Arab States to the United Nations, and chief representative of the Arab
                League to the United States.;",,,,,"Lecture, April 18, 1988.","Maksoud advances the notion that due to the establishment of the
                state of Israel, the Palestinians have ceased to be human beings and have become
                human obstacles. What is needed, in his mind, is a Palestinian adaptation to the
                Israeli ""fear psyche"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,Since 1945,Jewish-Arab relations.;Palestine.;,,,,,(OCoLC)fst01907412;(OCoLC)fst00983106;(OCoLC)fst01069781;,fast;fast;fast;,Diplomatic relations;Jewish-Arab relations;Political science;,,Israel;Middle East;,Foreign relations.;Politics and government;,1945-,,(OCoLC)fst01204236;(OCoLC)fst01241586;,fast;fast;,Israel;Middle East;,,,,,,,,,,,,,,CULectures,20000425120000.0,20141221,m,batch,lts,addfast,01732cim a22003972u 4500
3600598,20151214182631.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7663;3600598;(OCoLC)63896304;,NIC,NIC,NIC;NIC;,,"Tate, James,",,1943-2015.,,,,James Tate reads his poetry,,[sound recording],1988.,1 sound cassette (40 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Speaker(s): Author of ""The Lost Pilot,""
                ""Absences,"" and ""Constant Defender""; Professor of English,
                Amherst College.;",,,,,"Reading, April 19, 1988.",,,,,,,,,,"Tate, James,",1943-2015.,,,,(OCoLC)fst00028939,fast,"Tate, James,",1943-2015.,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,"Poetry, Modern",,,20th century.,,(OCoLC)fst01067769,fast,"Poetry, Modern",,,,,,,,,,,,,,,,,,,,Robert Chasen memorial readings.,,CULectures,20000328120000.0,20141221,m,batch,lts,addfast,01104cim a22003132u 4500
3600601,20151214182632.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(NIC)notisASF7666;3600601;(OCoLC)63896307;,NIC,NIC,NIC,,"MacIntosh, Peggy.",,,,,,Re-vision: a feminist perspective,,[sound recording],1988.,1 sound cassette (80 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.;Speaker(s): Associate professor at Wellsley College.;",,,,,"Lecture, April 27, 1988.","MacIntosh discusses pedagogy as a means of allowing students to
                adaopt an ""adjacent"" position in relation to subject matter. This approach
                is an alternative to the ""lateral"", ""take a position"" point of
                view.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education;Feminism.;,,Study and teaching.,,,(OCoLC)fst00902796;(OCoLC)fst00922671;,fast;fast;,Education;Feminism;,Study and teaching,,,,,,,,,,,,,,,,,,,Gender and pedagogy lectures.,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01208cim a22003132u 4500
