ID Number,Kaltura ID,Accession Number,Title,Description,Filename
AFR_video_172_1,1_edi189nl,2664922,"Afro-American and White Women Conference: Violence- Rebecca Rice and Barbara Smith, 2/20/88", Rebecca Rice; Barbara Smith,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_172_1.mp4
AFR_video_172_2,1_neeimxau,2664922,"Afro-American and White Women Conference: Work- Minnie Bruce Pratt; Cathy Valentino, 2/20/88",Minnie Bruce Pratt; Cathy Valentino,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_172_2.mp4
AFR_video_172_3,1_14o84twk,2664922,"Afro-American and White Women Conference: Naming Our Histories II-Peggy Haine; Faith Nolan, 2/20/88",Peggy Haine; Faith Nolan,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_172_3.mp4
AFR_video_172_4,1_xrugxjxw,2664922,"Afro-American and White Women Conference: Family- Sandra Pollack; Rebacca Rice, 2/20/88",Sandra Pollack; Rebacca Rice,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_172_4.mp4
AFR_video_172_5,1_zujgyb99,2664922,"Afro-American and White Women Conference: Culture, Community and Organizing/Sexuality, 2/19/88",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_172_5.mp4
AFR_video_173_1,1_jjf9pnty,2664804,"Africana Studies Paradigm Tape 1-Turner Tribute, May 9, 1986: Student Presentation and Tribute to James E. Turner; Gwendolyn Brooks; Haki Madhubuti, K. MaClane; S. Sanchez","Gwendolyn Brooks; Haki Madhubuti, K. MaClane; S. Sanchez",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_173_1.mp4
AFR_video_173_2,1_oecxgr10,2664804,"Africana Studies Paradigm Tape 2-Turner Tribute, May 9, 1986: Sonia Sanchez; The Harambee Singers",Sonia Sanchez; The Harambee Singers,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_173_2.mp4
AFR_video_173_3,1_bnxy67yv,2664804,"Africana Studies Paradigm Tape 3-Turner Tribute, May 10, 1986: John Henrik Clarke; Dr. Ben; Tilden Lemelle; Molefi Asante",John Henrik Clarke; Dr. Ben; Tilden Lemelle; Molefi ,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_173_3.mp4
AFR_video_173_4,1_1zncgb19,2664804,"Africana Studies Paradigm Tape 4-Tribute to Turner:  Molefi Asante, Vivian Gordon, Barbara Sizen, Donald Smith et al", Molefi Asante; Vivian Gordon; Barbara Sizen; Donald Smith et al,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_173_4.mp4
AFR_video_173_5,1_cin00sqz,2664804,"Africana Studies Paradigm Tape 5-Turner Tribute, 5/10/86, James Bladwin; Haki Madhubuti;Young Gifted and Black and Ujamaa","James Bladwin; Haki Madhubuti;Young, Gifted and Black and and Ujamaa",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_173_5.mp4
